,epoch,train_loss,train_acc,valid_loss,valid_acc,name_checkpoint,lr
0,0,1.4233,0.5019,1.762,0.2427,checkpoint_0000.pth,4.0290527913786154e-05
0,1,1.0388,0.6669,1.6891,0.3768,checkpoint_0001.pth,4.116175996152509e-05
0,2,0.8924,0.7016,1.6285,0.3969,checkpoint_0002.pth,4.261264148809499e-05
0,3,0.8344,0.7084,1.4081,0.4536,checkpoint_0003.pth,4.4641416153566246e-05
0,4,0.7918,0.717,1.437,0.4606,checkpoint_0004.pth,4.7245628059309325e-05
0,5,0.7582,0.7256,1.2611,0.5361,checkpoint_0005.pth,5.0422124720940985e-05
0,6,0.7405,0.7322,1.2028,0.538,checkpoint_0006.pth,5.416706088450982e-05
0,7,0.7141,0.7386,1.1926,0.5548,checkpoint_0007.pth,5.847590318130427e-05
0,8,0.6936,0.7419,1.246,0.515,checkpoint_0008.pth,6.334343561564348e-05
0,9,0.6739,0.7456,1.166,0.567,checkpoint_0009.pth,6.876376587901332e-05
0,10,0.6438,0.7589,1.2912,0.5141,checkpoint_0010.pth,7.473033248289935e-05
0,11,0.6236,0.7641,1.0618,0.6125,checkpoint_0011.pth,8.123591270168542e-05
0,12,0.5967,0.7725,1.2518,0.5159,checkpoint_0012.pth,8.827263131600102e-05
0,13,0.5878,0.7745,1.0498,0.6115,checkpoint_0013.pth,9.583197014593364e-05
0,14,0.5734,0.783,1.0965,0.5558,checkpoint_0014.pth,0.0001039047783625678
0,15,0.5689,0.7834,1.4046,0.4888,checkpoint_0015.pth,0.00011248128356536314
0,16,0.5771,0.7791,1.4811,0.3871,checkpoint_0016.pth,0.00012155110361196906
0,17,0.5727,0.7789,1.6355,0.3932,checkpoint_0017.pth,0.00013110325918615012
0,18,0.587,0.7739,1.4893,0.4278,checkpoint_0018.pth,0.0001411261870886099
0,19,0.5584,0.7878,1.1141,0.5679,checkpoint_0019.pth,0.00015160775423462539
0,20,0.5284,0.7995,1.2196,0.5291,checkpoint_0020.pth,0.0001625352723415458
0,21,0.5234,0.7994,1.5889,0.4011,checkpoint_0021.pth,0.0001738955132883777
0,22,0.4887,0.8123,1.3373,0.4583,checkpoint_0022.pth,0.00018567472512886108
0,23,0.4648,0.825,1.5854,0.3857,checkpoint_0023.pth,0.00019785864873865403
0,24,0.4494,0.8297,1.5079,0.5005,checkpoint_0024.pth,0.0002104325350764729
0,25,0.429,0.8395,1.7238,0.4016,checkpoint_0025.pth,0.0002233811630382932
