,epoch,train_loss,train_acc,valid_loss,valid_acc,name_checkpoint,lr
0,0,1.4877,0.4322,1.2915,0.5836,checkpoint_0000.pth,4.0290545019680004e-05
0,1,1.1978,0.6169,0.9797,0.7106,checkpoint_0001.pth,4.11618283436844e-05
0,2,0.9886,0.6835,0.8162,0.75,checkpoint_0002.pth,4.2612795192719754e-05
0,3,0.8594,0.7199,0.751,0.7697,checkpoint_0003.pth,4.4641689020153536e-05
0,4,0.7631,0.7476,0.6842,0.7674,checkpoint_0004.pth,4.724605363849851e-05
0,5,0.6992,0.7587,0.6291,0.7847,checkpoint_0005.pth,5.0422736192882425e-05
0,6,0.674,0.7603,0.5953,0.7839,checkpoint_0006.pth,5.4167890977908245e-05
0,7,0.6457,0.7579,0.5794,0.7823,checkpoint_0007.pth,5.8476984093281596e-05
0,8,0.6388,0.7583,0.5667,0.7784,checkpoint_0008.pth,6.334479893256887e-05
0,9,0.5995,0.7702,0.5593,0.7823,checkpoint_0009.pth,6.876544249844374e-05
0,10,0.6048,0.7652,0.5448,0.7823,checkpoint_0010.pth,7.473235253677548e-05
0,11,0.5789,0.7718,0.5615,0.7642,checkpoint_0011.pth,8.12383054809195e-05
0,12,0.6126,0.7609,0.5958,0.7413,checkpoint_0012.pth,8.827542519660044e-05
0,13,0.5867,0.7696,0.5633,0.7563,checkpoint_0013.pth,9.583519251679217e-05
0,14,0.5467,0.7854,0.5714,0.7618,checkpoint_0014.pth,0.00010390845555505754
0,15,0.5288,0.7777,0.5516,0.7705,checkpoint_0015.pth,0.00011248544078486234
0,16,0.5455,0.783,0.5854,0.7547,checkpoint_0016.pth,0.0001215557648714461
0,17,0.5242,0.7923,0.5533,0.7713,checkpoint_0017.pth,0.00013110844724193338
0,18,0.4838,0.8083,0.5549,0.7737,checkpoint_0018.pth,0.00014113192337845992
0,19,0.4628,0.8163,0.5589,0.7666,checkpoint_0019.pth,0.0001516140588182285
0,20,0.4415,0.8244,0.5738,0.7768,checkpoint_0020.pth,0.00016254216384354063
0,21,0.4391,0.819,0.6825,0.7358,checkpoint_0021.pth,0.00017390300884402294
0,22,0.3943,0.8422,0.6751,0.761,checkpoint_0022.pth,0.0001856828403324492
0,23,0.3823,0.8424,0.6598,0.7563,checkpoint_0023.pth,0.00019786739759477113
0,24,0.353,0.8604,0.6348,0.7705,checkpoint_0024.pth,0.00021044192995419873
0,25,0.3555,0.8546,0.612,0.7815,checkpoint_0025.pth,0.00022339121462843284
0,26,0.319,0.8748,0.7023,0.7737,checkpoint_0026.pth,0.0002366995751584294
0,27,0.3075,0.8849,0.7124,0.7603,checkpoint_0027.pth,0.00025035090038638805
0,28,0.285,0.8896,0.6949,0.7603,checkpoint_0028.pth,0.0002643286639599881
0,29,0.2712,0.8871,0.7179,0.7555,checkpoint_0029.pth,0.0002786159443392605
0,30,0.2459,0.9007,0.7395,0.7571,checkpoint_0030.pth,0.00029319544528187604
0,31,0.2443,0.9066,0.7969,0.7539,checkpoint_0031.pth,0.00030804951678205
0,32,0.2079,0.9205,0.7536,0.7689,checkpoint_0032.pth,0.00032316017643771466
0,33,0.217,0.9179,0.7873,0.7674,checkpoint_0033.pth,0.00033850913122009053
0,34,0.2046,0.9199,0.7133,0.7815,checkpoint_0034.pth,0.0003540777996193055
0,35,0.1786,0.9333,0.826,0.7524,checkpoint_0035.pth,0.00036984733413924944
0,36,0.1821,0.9292,1.0266,0.7256,checkpoint_0036.pth,0.00038579864411443293
0,37,0.1621,0.9411,0.9243,0.7492,checkpoint_0037.pth,0.0004019124188212283
0,38,0.1598,0.9385,0.8936,0.7571,checkpoint_0038.pth,0.00041816915085551333
0,39,0.1575,0.9393,0.988,0.7539,checkpoint_0039.pth,0.00043454915974841827
0,40,0.1658,0.9401,0.8679,0.7334,checkpoint_0040.pth,0.0004510326157915836
0,41,0.1386,0.9468,0.8758,0.7618,checkpoint_0041.pth,0.00046759956404309106
0,42,0.1509,0.9432,0.8244,0.7713,checkpoint_0042.pth,0.00048422994848499993
